,1,10,20,50,100,200,500,1000
1,0.002,0.0033,0.0048,0.0102,0.02,0,0,0
2,0.003,0.0052,0.0086,0.02,0,0,0,0
5,0.003,0.0122,0.02,0,0,0,0,0
10,0.005,0.02,0,0,0,0,0,0
20,0.009,0,0,0,0,0,0,0
30,0.014,0,0,0,0,0,0,0
40,0.018,0,0,0,0,0,0,0
50,0.019,0,0,0,0,0,0,0
